product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,Total_rating_score,type,name
"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",414.0791064,994.3701464000001,58,4.6,3664,16854.399999999998,Electronics,HDMICables
LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",165.3829464,165.3829464,0,3.9,1951,7608.9,Electronics,RemoteControls
"boAt Type-c A400 Type-c to USB A Cable for All Type C Phones (Lg nexus 5x), 1Mtr(Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,144.6582664,289.7310264,50,4.3,20850,89655.0,Computers&Accessories,USBCables
"Zoul Type C to Type C Fast Charging Cable 65W 2M/6ft USB C Nylon Braided Cord Compatible with MacBook Oneplus 9 9R Samsung Galaxy S21 Ultra S20+ (2M, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,165.3829464,455.5284664,64,4.1,2685,11008.499999999998,Computers&Accessories,USBCables
"TP-LINK AC1300 Archer T3U Plus High Gain USB 3.0 Wi-Fi Dongle, Wireless Dual Band MU-MIMO WiFi Adapter with High Gain Antenna, Supports Windows 11/10/8.1/8/7/XP/MacOS",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,704.2246264,1243.0663064,43,4.4,24780,109032.00000000001,Computers&Accessories,WirelessUSBAdapters
"LRIPL Mi Remote Control with Netflix & Prime Video Button Compatible for Mi 4X LED Android Smart TV 4A Remote Control (32""/43"") with Voice Command (Pairing Required)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",271.493308,455.5284664,40,3.2,285,912.0,Electronics,RemoteControls
"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,310.4557064,555.0069304,44,4.2,179692,754706.4,Computers&Accessories,WirelessUSBAdapters
Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4144.5215064,5388.002306400001,23,4.2,6088,25569.600000000002,Electronics,SmartTelevisions
Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television (Shining Black ),"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",80.826252,206.83230640000002,61,3.7,1383,5117.1,Electronics,RemoteControls
"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone, iPad, Silver, 6-Ft",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,414.0791064,870.43656,52,4.5,5492,24714.0,Computers&Accessories,USBCables
"Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile, Laptop, Macbook & Table Charging, 480mbps Data Sync Speed, Braided Cable, 1.5m Length (ABCC-100, Black-Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,206.83230640000002,372.6297464,44,4.2,919,3859.8,Computers&Accessories,USBCables
"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",172.4293376,248.2816664,31,4.2,30023,126096.6,Electronics,OpticalCables
"Duracell Type-C To Micro 1.2M braided Sync & Charge Cable, USB C to Micro Fast Charge Compatible for fast data transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,152.53364480000002,289.7310264,47,4.2,387,1625.4,Computers&Accessories,USBCables
VU 138 cm (55 inches) Premium Series 4K Ultra HD Smart IPS LED TV 55UT (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",12430.663064,26942.084000000003,54,4.1,211,865.0999999999999,Electronics,SmartTelevisions
"Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31s M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (1M, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,140.5133304,455.5284664,69,4.3,974,4188.2,Computers&Accessories,USBCables
Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKBXL (Titan Gray),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",6420.505864000001,8662.91624,26,4.3,16299,70085.7,Electronics,SmartTelevisions
MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy and Durable Black Supports 120W HyperCharging,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,206.83230640000002,538.4271864,62,4.3,30411,130767.29999999999,Computers&Accessories,USBCables
GENERIC Ultra-Mini Bluetooth CSR 4.0 USB Dongle Adapter for Windows Computer ( Black:Golden),Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,103.2089064,165.3829464,38,3.4,4642,15782.8,Computers&Accessories,WirelessUSBAdapters
7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box and Suitable for SD Tata Play setup Box Remote Control,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",165.3829464,331.18038640000003,50,4.3,12,51.599999999999994,Electronics,RemoteControls
"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,621.3259064,828.5727064,25,4.4,1951,8584.400000000001,Computers&Accessories,USBCables
"EGate i9 Pro-Max 1080p Native Full HD Projector 4k Support | 3600 L (330 ANSI ) | 150"" (381 cm) Large Screen | VGA, AV, HDMI, SD Card, USB, Audio Out | (E03i31 / E04i32) Black","Electronics|HomeTheater,TV&Video|Projectors",3933.544264,6627.752664000001,41,3.9,10480,40872.0,Electronics,Projectors
"ZEBRONICS HAA2021 HDMI version 2.1 cable with 8K @ 60Hz, 4K @ 120Hz, eARC & CEC support, 3D compatible, 2 meters length, 48Gbps max and Gold-plated connectors","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",264.03242320000004,621.3259064,58,4.1,24,98.39999999999999,Electronics,HDMICables
